market-census	ts/src/aster.ts	cancelAllOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	cancelOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	cancelOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	setLeverage	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	fetchMarginAdjustmentHistory	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	modifyMarginHelper	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	parseAccountPositions	market	safeMarket	4	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/aster.ts	transfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchTickers	tickers	parseTickers	2	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/bigone.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	createMarketBuyOrderWithCost	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	createOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	cancelAllOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchMyTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	transfer	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bigone.ts	withdraw	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bingx.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	parseCurrenciesCustom	parsed	parseCurrency	1	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/bingx.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
